source_ip,total_packet_count,unique_dest_ports,protocol_diversity,avg_packet_length,max_packet_length,syn_ratio,ack_ratio,fin_ratio,rst_ratio,psh_ratio,avg_conn_rate,max_conn_rate,session_duration,packets_per_second,proto_tcp_pct,proto_vnc_pct,proto_tlsv12_pct,proto_sshv2_pct,proto_dns_pct,proto_tds_pct,proto_telnet_pct,proto_http_pct,dominant_protocol,dominant_dest_port
102.221.248.242,18,1,2,219.16666666666666,1494.0,0.05555555555555555,0.5555555555555556,0.05555555555555555,0.0,0.0,9.5,18.0,8.357659999994212,2.153712881358235,61.111111111111114,0.0,0.0,38.88888888888889,0.0,0.0,0.0,0.0,TCP,22.0
165.227.46.79,57,1,5,139.26315789473685,509.0,0.17543859649122806,0.6491228070175439,0.17543859649122806,0.0,0.0,29.0,57.0,0.5622629999998026,101.37604644093604,82.45614035087719,0.0,8.771929824561402,0.0,0.0,0.0,0.0,0.0,TCP,995.0
178.17.170.23,11,1,2,69.36363636363636,82.0,0.09090909090909091,0.6363636363636364,0.09090909090909091,0.0,0.0,6.0,11.0,3.4438890000001265,3.1940634555874468,72.72727272727273,27.27272727272727,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5900.0
64.62.197.29,6,1,2,67.83333333333333,74.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.0,3.5,6.0,0.1970359999977518,30.45128808983364,83.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,1080.0
95.214.55.43,11,1,2,69.36363636363636,82.0,0.09090909090909091,0.6363636363636364,0.09090909090909091,0.0,0.0,6.0,11.0,2.0741439999983413,5.303392628481338,72.72727272727273,27.27272727272727,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5900.0
114.132.71.92,192,1,2,69.33333333333333,78.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.0,3.5,6.0,85308.95219,0.0022506430459065755,83.33333333333334,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5900.0
113.160.172.126,138,1,2,69.33333333333333,78.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.0,3.5,6.0,82032.363057,0.0016822628881739152,83.33333333333334,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5900.0
23.128.248.20,11,1,2,69.36363636363636,82.0,0.09090909090909091,0.6363636363636364,0.09090909090909091,0.0,0.0,6.0,11.0,2.1968889999998282,5.0070804669698195,72.72727272727273,27.27272727272727,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5900.0
185.220.101.53,33,1,2,69.36363636363636,82.0,0.09090909090909091,0.6363636363636364,0.09090909090909091,0.0,0.0,6.0,11.0,67392.148784,0.0004896712836055873,72.72727272727273,27.27272727272727,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5900.0
47.89.156.150,8,2,1,68.0,74.0,0.25,0.75,0.25,0.0,0.0,2.0,4.0,12555.069382999995,0.0006371928147870119,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,1025.0
45.155.91.23,9,1,1,60.0,60.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,2.0,3.0,22757.236015000002,0.0003954786070710793,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5060.0
167.248.133.133,4,1,1,68.0,74.0,0.25,0.75,0.25,0.0,0.0,2.5,4.0,5.0010739999997895,0.7998281969033388,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,81.0
